timestamp,elapsed_s,npu_pct
2025-11-25T07:30:33.290637Z,0.000170,0
2025-11-25T07:30:33.890140Z,0.598603,0
2025-11-25T07:30:34.470348Z,1.198768,9
2025-11-25T07:30:35.053330Z,1.778185,25
2025-11-25T07:30:35.635780Z,2.362414,25
2025-11-25T07:30:36.215154Z,2.943623,26
2025-11-25T07:30:36.796035Z,3.522979,26
2025-11-25T07:30:37.382982Z,4.103907,26
2025-11-25T07:30:37.971117Z,4.690820,26
2025-11-25T07:30:38.568693Z,5.280236,25
2025-11-25T07:30:39.150407Z,5.876674,25
2025-11-25T07:30:39.736147Z,6.458553,25
2025-11-25T07:30:40.316557Z,7.043976,25
2025-11-25T07:30:40.900280Z,7.624399,25
2025-11-25T07:30:41.491139Z,8.208143,25
2025-11-25T07:30:42.070594Z,8.799022,25
2025-11-25T07:30:42.717875Z,9.380149,25
2025-11-25T07:30:43.346062Z,10.027327,14
2025-11-25T07:30:43.956077Z,10.653951,14
2025-11-25T07:30:44.543662Z,11.263965,19
2025-11-25T07:30:45.144805Z,11.851521,19
2025-11-25T07:30:45.724071Z,12.452906,24
2025-11-25T07:30:46.335308Z,13.031898,24
2025-11-25T07:30:46.956874Z,13.643317,23
2025-11-25T07:30:47.564905Z,14.265427,19
2025-11-25T07:30:48.147195Z,14.873050,19
2025-11-25T07:30:48.733470Z,15.455063,23
2025-11-25T07:30:48.838059Z,16.041322,
2025-11-25T07:30:48.943014Z,16.146116,
2025-11-25T07:30:49.047891Z,16.250845,
2025-11-25T07:30:49.152981Z,16.355723,
2025-11-25T07:30:49.737082Z,16.460821,25
2025-11-25T07:30:50.316866Z,17.044912,25
2025-11-25T07:30:50.903961Z,17.624709,26
2025-11-25T07:30:51.480477Z,18.211825,26
2025-11-25T07:30:52.062138Z,18.788337,26
2025-11-25T07:30:52.642422Z,19.369974,26
2025-11-25T07:30:53.225847Z,19.950260,26
2025-11-25T07:30:53.808464Z,20.533674,26
2025-11-25T07:30:54.393648Z,21.116316,26
2025-11-25T07:30:54.979231Z,21.701485,26
2025-11-25T07:30:55.565562Z,22.289157,26
2025-11-25T07:30:56.148049Z,22.873400,25
2025-11-25T07:30:56.730056Z,23.455890,25
2025-11-25T07:30:57.313086Z,24.037893,25
2025-11-25T07:30:57.889896Z,24.620927,26
2025-11-25T07:30:58.467956Z,25.197731,26
2025-11-25T07:30:59.045696Z,25.776095,26
2025-11-25T07:30:59.628614Z,26.353544,26
2025-11-25T07:31:00.214853Z,26.936595,26
2025-11-25T07:31:00.799206Z,27.523474,26
2025-11-25T07:31:01.379825Z,28.107095,26
2025-11-25T07:31:01.962994Z,28.687673,26
2025-11-25T07:31:02.550660Z,29.270839,25
2025-11-25T07:31:03.131638Z,29.858489,25
2025-11-25T07:31:03.714685Z,30.439497,25
2025-11-25T07:31:04.297660Z,31.022577,25
2025-11-25T07:31:04.876757Z,31.605492,25
2025-11-25T07:31:05.455352Z,32.185447,26
2025-11-25T07:31:06.039357Z,32.763190,26
2025-11-25T07:31:06.642611Z,33.347261,25
2025-11-25T07:31:07.221898Z,33.950447,21
2025-11-25T07:31:07.819258Z,34.530100,21
2025-11-25T07:31:08.425780Z,35.127148,24
2025-11-25T07:31:09.028406Z,35.734180,24
2025-11-25T07:31:09.630760Z,36.337312,17
2025-11-25T07:31:10.234247Z,36.938984,17
2025-11-25T07:31:10.813637Z,37.542109,19
2025-11-25T07:31:11.409262Z,38.121484,23
2025-11-25T07:31:11.988647Z,38.717153,23
2025-11-25T07:31:12.573357Z,39.297065,24
2025-11-25T07:31:13.152621Z,39.881208,24
2025-11-25T07:31:13.731150Z,40.460579,25
2025-11-25T07:31:14.318226Z,41.039001,25
2025-11-25T07:31:14.898953Z,41.626361,25
2025-11-25T07:31:15.487664Z,42.206815,25
2025-11-25T07:31:16.067325Z,42.795516,25
2025-11-25T07:31:16.645760Z,43.375315,25
2025-11-25T07:31:17.234570Z,43.953633,25
2025-11-25T07:31:17.817235Z,44.542400,25
2025-11-25T07:31:18.394391Z,45.125054,25
2025-11-25T07:31:18.974884Z,45.702322,26
2025-11-25T07:31:19.557041Z,46.282713,26
2025-11-25T07:31:20.141480Z,46.864881,25
2025-11-25T07:31:20.718649Z,47.449306,25
2025-11-25T07:31:21.299076Z,48.026786,25
2025-11-25T07:31:21.877810Z,48.606966,26
2025-11-25T07:31:22.458848Z,49.185955,26
2025-11-25T07:31:23.042681Z,49.767211,25
2025-11-25T07:31:23.626351Z,50.350533,25
2025-11-25T07:31:24.209701Z,50.934211,24
2025-11-25T07:31:24.818424Z,51.517533,24
2025-11-25T07:31:25.408222Z,52.126619,23
2025-11-25T07:31:25.988921Z,52.716067,25
2025-11-25T07:31:26.580037Z,53.296818,25
2025-11-25T07:31:27.157398Z,53.888075,25
2025-11-25T07:31:27.739354Z,54.465273,25
2025-11-25T07:31:28.318106Z,55.047172,25
2025-11-25T07:31:28.892778Z,55.625948,25
2025-11-25T07:31:29.472756Z,56.200608,27
2025-11-25T07:31:30.062388Z,56.780585,27
2025-11-25T07:31:30.643184Z,57.370298,24
2025-11-25T07:31:31.227939Z,57.951142,24
2025-11-25T07:31:31.809315Z,58.535765,24
2025-11-25T07:31:32.394645Z,59.117151,25
2025-11-25T07:31:32.987052Z,59.702571,25
2025-11-25T07:31:33.588587Z,60.295175,24
2025-11-25T07:31:34.175625Z,60.896699,24
2025-11-25T07:31:34.766598Z,61.483438,23
2025-11-25T07:31:35.391798Z,62.074841,21
2025-11-25T07:31:36.022717Z,62.700020,21
2025-11-25T07:31:36.616639Z,63.332041,15
2025-11-25T07:31:37.206265Z,63.924482,15
2025-11-25T07:31:37.791479Z,64.514411,21
2025-11-25T07:31:38.385061Z,65.099351,21
2025-11-25T07:31:39.000699Z,65.692906,24
2025-11-25T07:31:39.588191Z,66.309312,22
2025-11-25T07:31:40.173843Z,66.898588,22
2025-11-25T07:31:40.752364Z,67.481697,25
2025-11-25T07:31:41.332529Z,68.060201,25
2025-11-25T07:31:41.912821Z,68.640365,26
2025-11-25T07:31:42.491039Z,69.220658,26
2025-11-25T07:31:43.070969Z,69.798953,25
2025-11-25T07:31:43.655458Z,70.378823,24
2025-11-25T07:31:44.234548Z,70.963291,24
2025-11-25T07:31:44.838185Z,71.542386,24
2025-11-25T07:31:45.440722Z,72.146289,24
2025-11-25T07:31:46.025660Z,72.748562,22
2025-11-25T07:31:46.606924Z,73.333594,22
2025-11-25T07:31:47.187220Z,73.914755,24
2025-11-25T07:31:47.766104Z,74.495050,24
2025-11-25T07:31:48.349595Z,75.073978,25
2025-11-25T07:31:48.926541Z,75.657474,25
2025-11-25T07:31:49.513114Z,76.234554,25
2025-11-25T07:31:50.086084Z,76.821245,23
2025-11-25T07:31:50.662993Z,77.393914,23
